hotel,rank,price,hotel_star,address,extended_address,number_of_review,overall_star_of_review,keywords
The Westin New York Grand Central,#247 of 479 Hotels in New York City,259,4 Star Hotel,212 East 42nd Street,Between 2nd Ave and 3rd Ave,"4,067 reviews",40,"['All reviews', 'chrysler building', 'great location', 'new york', 'heavenly bed', 'times square', 'spg member', 'corner room', 'mini bar', 'good size', 'bryant park', 'late check', 'high floor', 'two blocks', 'housekeeping staff', 'street noise', 'two double beds', 'by nyc standards']"
Conrad New York,#26 of 479 Hotels in New York City,296,5 Star Hotel,102 North End Avenue,"New York City, NY 10282-1238","3,728 reviews",45,"['All reviews', 'battery park', 'hudson river', 'brookfield place', 'shake shack', 'rooftop bar', 'blue smoke', 'statue of liberty', 'lower manhattan', 'goldman sachs', 'the financial district', 'new york', 'nespresso machine', 'chambers street', 'world trade center', 'freedom tower', 'bagel shop', 'huge shower']"
Staybridge Suites Times Square - New York City,#195 of 479 Hotels in New York City,153,3 Star Hotel,340 West 40th Street,"New York City, NY 10018-1404","6,066 reviews",45,"['All reviews', 'port authority', 'parole office', 'times square', 'free laundry', 'new york', 'full size fridge', 'fridge freezer', 'stove top', 'bus station', 'small kitchen', 'never felt unsafe', 'the breakfast area', 'bagels', 'complimentary breakfast', 'lower floor', ""hell's kitchen"", 'few blocks']"
Cambria Hotel New York - Chelsea,#58 of 479 Hotels in New York City,127,3 Star Hotel,123 W 28th Street,"New York City, NY 10001-6120","1,096 reviews",45,"['All reviews', 'flower district', 'rooftop bar', 'penn station', 'new york', 'great hotel', 'huge tv', 'madison square garden', 'freedom tower', 'times square', 'two queen beds', 'fridge and microwave', 'walking distance', 'would definitely stay here again', 'few blocks', 'the room was nice', 'convenient location', 'the empire state building']"
The Marlton Hotel,#157 of 479 Hotels in New York City,275,4 Star Hotel,5 W 8th St,"New York City, NY 10011-9099",682 reviews,45,"['All reviews', 'washington square park', 'greenwich village', 'rooms are small', 'avocado toast', 'espresso bar', 'new york', 'cozy lobby', 'modern touches', 'charming hotel', 'free continental breakfast', 'lounge area', 'hotel guests', 'appointed rooms', 'queen room', 'bars and restaurants', 'mini bar', 'great shower']"
Omni Berkshire Place,#116 of 479 Hotels in New York City,197,4 Star Hotel,21 E 52nd St,at Madison Ave,"4,370 reviews",45,"['All reviews', 'select guest', 'loyalty program', 'central park', 'great location', 'new york', 'rockefeller center', 'madison ave', ""patrick's cathedral"", 'times square', 'free wifi', 'each morning', 'concierge staff', 'turn down service', 'midtown location', 'wonderful hotel', 'by nyc standards', 'around the corner']"
Hilton Garden Inn New York/Manhattan-Chelsea,#235 of 479 Hotels in New York City,149,3 Star Hotel,121 West 28th Street,"New York City, NY 10001-6102","2,209 reviews",40,"['All reviews', 'flower district', 'penn station', 'new york', 'times square', 'microwave and fridge', 'madison square garden', 'two queen beds', 'hotel is located', 'convenient location', 'would definitely stay here again', 'business center', 'front desk staff', 'empire state building', 'few blocks', 'the high line', 'city view', 'street noise']"
NOMO SOHO Hotel,#269 of 479 Hotels in New York City,233,4 Star Hotel,9 Crosby Street,"New York City, NY 10013","1,333 reviews",40,"['All reviews', 'crosby street', 'new york', 'floor to ceiling windows', 'cool hotel', 'room service', 'brooklyn bridge', 'concierge service', 'rooms are small', 'corner room', 'lower manhattan', 'amazing hotel', 'higher floor', 'the location is perfect', 'mondrian', 'isaiah', 'nyc', 'hip']"
SpringHill Suites New York Midtown Manhattan/Fifth Avenue,#185 of 479 Hotels in New York City,179,3 Star Hotel,25 W 37th St,"New York City, NY 10018-6224","1,101 reviews",45,"['All reviews', 'the empire state building', 'bryant park', 'great location', 'times square', 'the breakfast area', 'new york', 'bagels', 'free breakfast', 'frosted glass', 'herald square', 'would stay here again', 'penn station', 'bathroom door', 'front desk staff', 'few blocks', 'fifth avenue', 'midtown manhattan']"
Crowne Plaza Times Square Manhattan,#223 of 479 Hotels in New York City,114,4 Star Hotel,1605 Broadway,between 48th and 49th Street,"10,570 reviews",40,"['All reviews', 'times square', 'sandra esp', 'great location', 'new york', 'priority club', 'corner room', 'hudson river', 'busy hotel', 'hotel bar', 'broadway show', 'central location', 'big apple', 'two double beds', 'high floor', 'rockefeller center', 'ihg', 'concierge']"
Avalon Hotel,#180 of 479 Hotels in New York City,155,4 Star Hotel,16 East 32nd Street,"New York City, NY 10016-5402","1,872 reviews",45,"['All reviews', 'junior suite', 'the empire state building', 'new york', 'korea town', 'penn station', 'sofa bed', 'sitting area', 'free coffee', 'around the corner', 'smoking room', 'continental breakfast', 'big room', 'times square', 'mini bar', 'central location', 'beds were very comfortable', 'excellent location']"
NYLO New York City,#188 of 479 Hotels in New York City,240,4 Star Hotel,2178 Broadway,at W 77th Street,"6,258 reviews",40,"['All reviews', 'upper west side', 'central park', 'red farm', 'serafina restaurant', 'great location', 'beacon theater', 'new york', 'museum of natural history', 'lobby bar', 'lincoln center', 'two blocks', 'comfortable bed', 'hudson river', 'nyc hotel', 'subway station', 'rooms are small', 'times square']"
Refinery Hotel,#31 of 479 Hotels in New York City,209,5 Star Hotel,63 West 38th Street,"New York City, NY 10018-3818","4,637 reviews",45,"['All reviews', 'rooftop bar', 'parker quinn', 'bryant park', 'hat factory', 'the empire state building', 'cupcakes', 'new york', 'magnolia bakery', 'great hotel', 'live jazz', 'fashion district', 'boutique hotel', 'hotel guests', 'times square', 'comfortable beds', 'street noise', 'definitely stay here again']"
Courtyard by Marriott New York Manhattan/Central Park,#249 of 479 Hotels in New York City,161,3 Star Hotel,1717 Broadway,"New York City, NY 10019-5214","1,376 reviews",40,"['All reviews', 'central park', 'corner room', 'tallest hotel', 'times square', 'great location', 'fourth floor', 'new york', 'floor to ceiling windows', 'floor lounge', 'city view', 'columbus circle', 'starbucks coffee', 'rooms are small', 'carnegie hall', 'the upper floors', 'few blocks', 'lincoln center']"
Wolcott Hotel,#244 of 479 Hotels in New York City,195,2 Star Hotel,4 West 31st Street,Between 5th Avenue & Broadway,"2,572 reviews",40,"['All reviews', 'the empire state building', 'triple room', 'free coffee and muffins', 'new york', 'great location', 'every morning', 'dunkin donuts', 'penn station', 'times square', 'budget hotel', 'beautiful lobby', 'around the corner', 'herald square', 'central location', 'two blocks', 'midtown manhattan', 'street noise']"
Residence Inn New York Downtown Manhattan/World Trade Center Area,#77 of 479 Hotels in New York City,184,3 Star Hotel,170 Broadway,At 4 Maiden Lane Adjacent To The Gap,767 reviews,45,"['All reviews', 'maiden lane', 'wall street', 'battery park', 'fulton street subway', 'the financial district', 'executive studio', 'one world observatory', 'charging bull', 'statue of liberty', 'wtc memorial', 'free breakfast', 'new york', 'full size fridge', 'the breakfast area', 'downtown manhattan', 'freedom tower', 'stove top']"
"The Pierre, A Taj Hotel, New York",#22 of 479 Hotels in New York City,506,5 Star Hotel,2 East 61st Street at Fifth Avenue,"New York City, NY 10065","1,998 reviews",45,"['All reviews', 'elevator attendants', 'central park', 'elevator operator', 'new york', 'room service', 'elegant hotel', 'four seasons', 'five star hotel', 'fifth avenue', 'park view', 'upper east side', 'concierge desk', 'turn down service', 'bottle of champagne', 'housekeeping staff', 'the location is perfect', 'nyc hotel']"
Park Hyatt New York,#43 of 479 Hotels in New York City,745,5 Star Hotel,153 West 57th Street,"New York City, NY 10019-2214","1,792 reviews",45,"['All reviews', 'carnegie hall', 'le labo', 'heated floors', 'park suite', 'new york', 'steam room', 'the russian tea room', 'house car', 'tv in the mirror', 'living room', 'rain shower', 'soaking tub', 'beautiful hotel', 'luxury hotel', 'nespresso machine', 'west side', 'four seasons']"
Kitano New York,#126 of 479 Hotels in New York City,449,4 Star Hotel,66 Park Ave,At 38th Street,"1,263 reviews",45,"['All reviews', 'park avenue', 'grand central station', 'jazz club', 'japanese toilet', 'heated seat', 'on a non smoking floor', 'new york', 'the empire state building', 'live jazz', 'murray hill', 'few blocks', 'quiet hotel', 'times square', 'mini bar', 'corner room', 'fifth avenue', 'street noise']"
"Mandarin Oriental, New York",#76 of 479 Hotels in New York City,795,5 Star Hotel,80 Columbus Circle at 60th Street,"New York City, NY 10023-5800","1,613 reviews",45,"['All reviews', 'columbus circle', 'lobby lounge', 'time warner center', 'central park', 'asiate restaurant', 'mo nyc', 'hudson river', 'hudson view room', 'new york', 'four seasons', 'trump hotel', 'room service', 'whole foods', 'park view', 'in room dining', 'floor to ceiling windows', 'turn down service']"
West 57th Street by Hilton Club,#70 of 479 Hotels in New York City,474,4 Star Hotel,102 W 57th St,"New York City, NY 10019-3302","1,526 reviews",45,"['All reviews', 'carnegie hall', 'time share', 'owners lounge', 'central park', 'the russian tea room', 'grand vacation', 'sales presentation', 'great location', 'new york', 'two blocks', 'studio room', 'times square', 'lincoln center', 'within walking distance', 'columbus circle', 'the penthouse', 'home away from home']"
Holiday Inn Manhattan - Financial District,#259 of 479 Hotels in New York City,144,4 Star Hotel,99 Washington Street,"New York City, NY 10006-1805","1,598 reviews",40,"['All reviews', 'wall street', 'battery park', 'statue of liberty', 'rector street', 'trinity church', 'freedom tower', 'hudson river', 'world trade center', 'new york', 'memorial museum', 'staten island ferry', 'dunkin donuts', 'within walking distance', 'rooms are small', 'the upper floors', 'subway station', 'high floor']"
The Ludlow New York City,#81 of 479 Hotels in New York City,330,4 Star Hotel,180 Ludlow St,"New York City, NY 10002-1514",760 reviews,45,"['All reviews', 'dirty french', 'lower east side', ""katz's deli"", 'east village', 'russ daughters', 'queen studio', 'sweet chicken', 'new york', 'small balcony', 'cool hotel', 'restaurants and bars', 'complimentary breakfast', 'great neighborhood', 'sitting area', 'roof terrace', 'restaurant downstairs', 'rain shower']"
Hampton Inn Manhattan-35th St/Empire State Bldg,#177 of 479 Hotels in New York City,122,3 Star Hotel,59 W. 35th Street,"New York City, NY 10001-2202","2,397 reviews",40,"['All reviews', 'herald square', 'great location', 'times square', 'new york', 'penn station', 'free breakfast', 'empire state', 'the breakfast area', 'rooms are small', 'bagels', 'around the corner', 'front desk staff', 'would definitely stay here again', 'two double beds', 'street noise', 'central location', 'nyc hotel']"
Hampton Inn Manhattan-Times Square North,#192 of 479 Hotels in New York City,99,3 Star Hotel,851 8th Avenue,"New York City, NY 10019-6237","5,957 reviews",45,"['All reviews', 'central park', 'times square', 'free breakfast', 'great location', 'rite aid', 'new york', 'breakfast room', 'hot breakfast', 'yogurt', 'rockefeller center', 'few blocks', ""hell's kitchen"", 'two queen beds', 'broadway theaters', 'parking garage', 'subway station', 'room was large']"
Hotel Indigo Lower East Side New York,#95 of 479 Hotels in New York City,180,4 Star Hotel,171 Ludlow Street,"New York City, NY 10002-1501",880 reviews,45,"['All reviews', 'rooftop bar', ""katz's deli"", 'floor lobby', 'purple bar', 'russ and daughters', 'freedom tower', 'new york', 'east village', 'bars and restaurants', 'nyc skyline', 'hotel guests', 'cool hotel', 'floor to ceiling windows', 'hotel bar', 'great neighborhood', 'the penthouse', 'brooklyn bridge']"
Hampton Inn Manhattan-Chelsea,#152 of 479 Hotels in New York City,135,3 Star Hotel,108 West 24th Street,"New York City, NY 10011-1902","2,086 reviews",45,"['All reviews', 'whole foods', 'great location', 'free breakfast', 'new york', 'flatiron building', 'madison square park', 'front desk staff', 'bagels', 'the breakfast area', 'the high line', 'two queen beds', 'fresh fruit', 'around the corner', 'city view', 'within walking distance', 'times square', 'penn station']"
Fairfield Inn & Suites New York Manhattan/Chelsea,#160 of 479 Hotels in New York City,122,3 Star Hotel,116 W 28th St,"New York City, NY 10001-6101",909 reviews,45,"['All reviews', 'flower district', 'penn station', 'the empire state building', 'wholesale flower', 'yogurt', 'new york', 'free breakfast', 'madison square garden', 'rooftop patio', 'the breakfast area', 'times square', 'front desk staff', 'city view', 'rooms are small', 'few blocks', 'king bed', 'convenient location']"
Hampton Inn Manhattan - Madison Square Garden Area,#148 of 479 Hotels in New York City,135,3 Star Hotel,116 West 31st Street,"New York City, NY 10001-3401","2,146 reviews",40,"['All reviews', 'penn station', 'great location', 'new york', 'free breakfast', 'rooms are small', 'warm cookies', 'the breakfast area', 'yogurt', 'the empire state building', 'front desk staff', 'two double beds', 'would definitely stay here again', 'around the corner', 'would highly recommend this hotel', 'few blocks', 'central location', 'nyc hotels']"
Hilton New York Fashion District,#220 of 479 Hotels in New York City,142,4 Star Hotel,152 West 26th Street,"New York City, NY 10001-6975","3,674 reviews",40,"['All reviews', 'rooftop bar', 'new york', 'penn station', 'the empire state building', 'whole foods', 'front desk staff', 'the high line', 'high floor', 'chelsea market', 'times square', 'madison square garden', 'rooms are small', 'street noise', 'few blocks', 'mini bar', 'decent size', 'early check']"
Roger Smith Hotel,#108 of 479 Hotels in New York City,152,3 Star Hotel,501 Lexington Avenue,"New York City, NY 10017-2008","2,427 reviews",40,"['All reviews', 'yogurt', 'free apples', 'new york', 'lexington avenue', 'rooftop bar', 'grand central station', 'junior suite', 'an older hotel', 'home away from home', 'street noise', 'times square', 'midtown hotel', 'few blocks', 'chrysler building', 'excellent location', 'spacious room', 'convenient location']"
Stewart Hotel,#182 of 479 Hotels in New York City,121,4 Star Hotel,371 Seventh Ave,"New York City, NY 10001-3984","6,155 reviews",40,"['All reviews', 'affinia manhattan', 'penn station', 'madison square garden', 'niles restaurant', 'front desk', 'new york', 'one bedroom suite', 'times square', 'wine hour', 'street noise', 'an upgrade', 'sofa bed', 'city that never sleeps', 'empire state building', 'light sleeper', 'central location', 'upon check']"
Candlewood Suites New York City Times Square,#268 of 479 Hotels in New York City,148,3 Star Hotel,339 W. 39th Street,"New York City, NY 10018-1401","1,952 reviews",40,"['All reviews', 'free laundry', 'times square', 'port authority', 'full size refrigerator', 'new york', 'fridge freezer', 'an extended stay', 'laundry room', 'small kitchen', 'longer stay', 'clean towels', 'penn station', 'few blocks', 'coffee maker', 'the empire state building', 'queen bed', 'would definitely stay here again']"
Park South Hotel,#65 of 479 Hotels in New York City,197,4 Star Hotel,124 East 28th Street,"New York City, NY 10016-8402","2,720 reviews",45,"['All reviews', 'rooftop bar', 'black duck restaurant', 'new york', 'great hotel', 'murray hill', 'bagels', 'subway station', 'chrysler building', 'boutique hotel', 'union square', 'front desk staff', 'convenient location', 'small hotel', 'empire state', 'would definitely stay here again', 'around the corner', 'few blocks']"
Hilton Garden Inn New York/Manhattan-Midtown East,#214 of 479 Hotels in New York City,148,3 Star Hotel,206 E 52nd St,"New York City, NY 10022-6201","1,420 reviews",40,"['All reviews', 'great location', 'new york', 'ess a bagel', 'two queen beds', 'city view', 'times square', 'walking distance', 'around the corner', 'central park', 'rooms are small', 'subway stop', 'clean hotel', 'definitely stay here again', 'mini fridge', 'few blocks', 'coffee machine', 'higher floor']"
Royalton New York Hotel,#270 of 479 Hotels in New York City,170,4 Star Hotel,44 West 44th Street,"New York City, NY 10036-6604","2,522 reviews",40,"['All reviews', 'loft suite', 'times square', 'new york', 'soaking tub', 'room service', 'bryant park', 'standard room', 'lobby bar', 'location is great', 'midtown location', 'grand central station', 'fifth avenue', 'reception desk', 'an upgrade', 'two blocks', 'the theater district', 'street noise']"
Hotel Metro,#115 of 479 Hotels in New York City,149,3 Star Hotel,45 W 35th St,"New York City, NY 10001-2277","4,468 reviews",45,"['All reviews', 'roof terrace', 'metro grill', 'bagels', 'the empire state building', 'tea and coffee', 'free wine tasting', 'premier queen room', 'new york', 'great hotel', 'times square', 'continental breakfast', 'family suite', 'set you up for the day', 'herald square', 'art deco style', 'penn station', 'the penthouse']"
Room Mate Grace,#84 of 479 Hotels in New York City,161,3 Star Hotel,125 West 45th Street,"New York City, NY 10036-4004","1,364 reviews",45,"['All reviews', 'indoor pool', 'portable wifi', 'times square', 'swim up bar', 'recommend room', 'great location', 'new york', 'triple room', 'boutique hotel', 'literally a minute walk', 'huge shower', 'rooms are small', 'bunk beds', 'would definitely stay here again', 'good size', 'great amenities', 'check in was quick']"
Cambria Hotel New York - Times Square,#114 of 479 Hotels in New York City,135,3 Star Hotel,30 W 46th St,"New York City, NY 10036-4500",994 reviews,45,"['All reviews', 'rockefeller center', 'times square', 'great location', 'new york', 'sliding glass door', 'fridge and microwave', 'bryant park', 'modern hotel', 'fifth avenue', 'walk in shower', 'good size', 'two blocks', 'street noise', 'a great stay', 'comfortable beds', 'would stay here again', 'front desk staff']"
Distrikt Hotel New York City,#91 of 479 Hotels in New York City,134,4 Star Hotel,342 West 40th Street,"New York City, NY 10018-1404","5,964 reviews",45,"['All reviews', 'port authority', 'parole office', 'times square', 'new york', 'great hotel', 'bus station', ""hell's kitchen"", 'little touches', 'hudson river', 'good size', 'free wifi', 'our honeymoon', 'coffee machine', 'central location', 'small hotel', 'big apple', 'higher floor']"
Aloft Manhattan Downtown Financial District,#251 of 479 Hotels in New York City,129,3 Star Hotel,49 Ann St # 53,"New York City, NY 10038-2409",258 reviews,40,"['All reviews', 'brooklyn bridge', 'fulton st', 'wall street', 'path train', 'world trade center', 'hip vibe', 'freedom tower', 'traditional hotel', 'new york', 'battery park', 'sliding door', 'hotel rooms are', 'front desk staff', 'restaurants and shops', 'within blocks', 'walking distance', 'rooms are small']"
Hilton Garden Inn New York/Tribeca,#201 of 479 Hotels in New York City,167,3 Star Hotel,39 Avenue of the Americas,"New York City, NY 10013-2201","1,571 reviews",40,"['All reviews', 'canal street', 'great location', 'holland tunnel', 'new york', 'subway station', 'greenwich village', 'easy access', 'lower manhattan', 'front desk staff', 'walking distance', 'fridge and microwave', 'financial district', 'good size', 'would definitely stay here again', 'business trip', 'battery park', 'business center']"
The Bentley Hotel,#183 of 479 Hotels in New York City,152,4 Star Hotel,500 East 62nd Street,Between York Ave and FDR Drive,"4,438 reviews",40,"['All reviews', 'east river', 'queensboro bridge', 'sloan kettering', 'roosevelt island', 'fdr drive', 'new york', 'rooftop restaurant', 'nearest subway', 'the ritz', 'front desk staff', 'lobby bar', 'central park', 'junior suite', 'corner room', 'few blocks', 'street noise', 'times square']"
"Club Quarters Hotel, World Trade Center",#109 of 479 Hotels in New York City,134,4 Star Hotel,140 Washington St,"New York City, NY 10006-1071","1,728 reviews",45,"['All reviews', 'wtc memorial', 'the financial district', 'memorial pools', 'battery park', 'freedom tower', 'filtered water', 'rooftop restaurant', 'wall street', 'rector street', 'lower manhattan', 'new york', 'ground zero', 'construction site', 'statue of liberty', 'top floor', 'free coffee', 'great amenities']"
Wyndham Garden Chinatown,#187 of 479 Hotels in New York City,144,4 Star Hotel,93 Bowery,"New York City, NY 10002-4915","1,636 reviews",45,"['All reviews', 'floor to ceiling windows', 'shared balcony', 'bowery street', 'lower east side', 'new york', 'manhattan bridge', 'canal st', 'shower door', 'the empire state building', 'rooftop lounge', 'corner room', 'subway station', 'freedom tower', 'hotel is located', 'would definitely stay here again', 'few blocks', 'higher floor']"
NYLO New York City,#188 of 479 Hotels in New York City,240,4 Star Hotel,2178 Broadway,at W 77th Street,"6,258 reviews",40,"['All reviews', 'upper west side', 'central park', 'red farm', 'serafina restaurant', 'great location', 'beacon theater', 'new york', 'museum of natural history', 'lobby bar', 'lincoln center', 'two blocks', 'comfortable bed', 'hudson river', 'nyc hotel', 'subway station', 'rooms are small', 'times square']"
Fitzpatrick Grand Central,#56 of 479 Hotels in New York City,148,4 Star Hotel,141 E 44th St,"New York City, NY 10017-4006","2,544 reviews",45,"['All reviews', 'new york', 'champagne and strawberries', 'great location', 'grand central', 'our honeymoon', 'lovely hotel', 'home from home', 'lexington avenue', 'chrysler building', 'times square', 'good size', 'stayed here for nights', 'upgraded to a suite', 'bed was very comfortable', 'around the corner', 'would highly recommend this hotel', 'definitely stay here again']"
Fairfield Inn & Suites New York Manhattan/Central Park,#172 of 479 Hotels in New York City,173,3 Star Hotel,538 W 58th St,"New York City, NY 10019-1004",269 reviews,40,"['All reviews', 'columbus circle', 'free breakfast', 'lincoln center', 'rooms are small', 'central park', 'john jay', 'marriott brand', 'make your own waffles', 'metropolitan opera', 'uber ride', 'breakfast staff', 'new york', 'breakfast room', 'minute walk', 'quiet street', 'times square', 'excellent breakfast']"
Hotel 31,#250 of 479 Hotels in New York City,123,2 Star Hotel,120 East 31 Street,"New York City, NY 10016-6809","1,654 reviews",40,"['All reviews', 'shared bathroom', 'the empire state building', 'private bath', 'new york', 'subway station', 'double bed', 'rooms are small', 'lexington ave', 'around the corner', 'times square', 'few blocks', 'walked everywhere', 'central location', 'the air conditioning', 'location is great', 'big apple', 'sink']"
Wolcott Hotel,#244 of 479 Hotels in New York City,195,2 Star Hotel,4 West 31st Street,Between 5th Avenue & Broadway,"2,572 reviews",40,"['All reviews', 'the empire state building', 'triple room', 'free coffee and muffins', 'new york', 'great location', 'every morning', 'dunkin donuts', 'penn station', 'times square', 'budget hotel', 'beautiful lobby', 'around the corner', 'herald square', 'central location', 'two blocks', 'midtown manhattan', 'street noise']"
Pod 39 Hotel,#202 of 479 Hotels in New York City,152,3 Star Hotel,145 E 39th Street,"New York City, NY 10016-0913","3,761 reviews",40,"['All reviews', 'salvation taco', 'grand central station', 'rooftop bar', 'rooms are small', 'bunk room', 'taco restaurant', 'frosted glass', 'top bunk', 'great location', 'new york', 'small desk', 'murray hill', 'private bathroom', 'sliding door', 'free wifi', 'chrysler building', 'few blocks']"
Hotel Mulberry,#147 of 479 Hotels in New York City,189,3 Star Hotel,52 Mulberry St,"New York City, NY 10013-4315",631 reviews,45,"['All reviews', 'columbus park', 'canal street', 'freedom tower', 'free breakfast', 'little italy', ""mama's cafe"", 'new york', 'breakfast is served', 'parking garage', 'every morning', 'short walk', 'modern bathroom', 'lower manhattan', 'small hotel', 'battery park', 'beds were very comfortable', 'world trade']"
Hotel Indigo Lower East Side New York,#95 of 479 Hotels in New York City,180,4 Star Hotel,171 Ludlow Street,"New York City, NY 10002-1501",880 reviews,45,"['All reviews', 'rooftop bar', ""katz's deli"", 'floor lobby', 'purple bar', 'russ and daughters', 'freedom tower', 'new york', 'east village', 'bars and restaurants', 'nyc skyline', 'hotel guests', 'cool hotel', 'floor to ceiling windows', 'hotel bar', 'great neighborhood', 'the penthouse', 'brooklyn bridge']"
"The Standard, East Village",#161 of 479 Hotels in New York City,218,4 Star Hotel,25 Cooper Sq,"New York City, NY 10003-7107",768 reviews,45,"['All reviews', 'the penthouse', 'astor place', 'cooper square', 'corner king room', 'standard highline', 'new york', 'floor to ceiling windows', 'hip hotel', 'the high line', 'every staff member', 'the entire staff', 'lower east side', 'high floor', 'rooms are small', 'mini bar', 'loved this hotel', 'an upgrade']"
The Marlton Hotel,#157 of 479 Hotels in New York City,275,4 Star Hotel,5 W 8th St,"New York City, NY 10011-9099",682 reviews,45,"['All reviews', 'washington square park', 'greenwich village', 'rooms are small', 'avocado toast', 'espresso bar', 'new york', 'cozy lobby', 'modern touches', 'charming hotel', 'free continental breakfast', 'lounge area', 'hotel guests', 'appointed rooms', 'queen room', 'bars and restaurants', 'mini bar', 'great shower']"
Staybridge Suites Times Square - New York City,#195 of 479 Hotels in New York City,153,3 Star Hotel,340 West 40th Street,"New York City, NY 10018-1404","6,066 reviews",45,"['All reviews', 'port authority', 'parole office', 'times square', 'free laundry', 'new york', 'full size fridge', 'fridge freezer', 'stove top', 'bus station', 'small kitchen', 'never felt unsafe', 'the breakfast area', 'bagels', 'complimentary breakfast', 'lower floor', ""hell's kitchen"", 'few blocks']"
