hotel,rank,price,hotel_star,address,extended_address,number_of_review,overall_star_of_review,keywords
The Kimberly Hotel,#18 of 479 Hotels in New York City,319,4 Star Hotel,145 East 50th Street,"New York City, NY 10022-9502","2,211 reviews",45,"['All reviews', 'one bedroom suite', 'rooftop bar', 'chrysler building', 'the penthouse', 'new york', 'rockefeller center', 'full kitchen', 'small kitchen', 'sitting room', 'pull out sofa', 'living area', 'door staff', 'around the corner', 'central park', 'king bed', 'wonderful hotel', 'boutique hotel']"
Hilton Garden Inn New York/Central Park South-Midtown West,#240 of 479 Hotels in New York City,178,3 Star Hotel,237 West 54th Street,"New York City, NY 10019-5589","2,944 reviews",40,"['All reviews', 'central park', 'empire steakhouse', 'great location', 'times square', 'new york', 'keurig coffee maker', 'columbus circle', 'attached restaurant', 'bathroom door', 'lincoln center', 'few blocks', 'carnegie hall', 'broadway theaters', 'lower floor', 'around the corner', 'rooms are small', 'business center']"
Hampton Inn Manhattan-35th St/Empire State Bldg,#177 of 479 Hotels in New York City,193,3 Star Hotel,59 W. 35th Street,"New York City, NY 10001-2202","2,397 reviews",40,"['All reviews', 'herald square', 'great location', 'times square', 'new york', 'penn station', 'free breakfast', 'empire state', 'the breakfast area', 'rooms are small', 'bagels', 'around the corner', 'front desk staff', 'would definitely stay here again', 'two double beds', 'street noise', 'central location', 'nyc hotel']"
The Bryant Park Hotel,#5 of 479 Hotels in New York City,345,4 Star Hotel,40 West 40th Street,"New York City, NY 10018-2602","4,014 reviews",45,"['All reviews', 'cellar bar', 'koi restaurant', 'molton brown products', 'darren sumner', 'skating rink', 'new york', 'junior suite', 'times square', 'free happy hour', 'the ny public library', 'park view', 'hardwood floors', 'huge bathroom', 'perfect location', 'hotel guests', 'turn down service', 'bottle of champagne']"
HGU New York,#194 of 479 Hotels in New York City,259,4 Star Hotel,34 E 32nd St,"New York City, NY 10016-5503",300 reviews,40,"['All reviews', 'boutique hotel', 'bigelow products', 'the empire state building', 'king suite', 'new york', 'lounge bar', 'large bed', 'cool vibe', 'the bed was extremely comfortable', 'walking distance', 'wonderful stay', 'complimentary coffee', 'lovely room', 'subway station', 'comfortable stay', 'hotel guests', 'excellent location']"
Novotel New York Times Square,#162 of 479 Hotels in New York City,213,4 Star Hotel,226 W 52nd Street,"New York City, NY 10019-5802","6,451 reviews",45,"['All reviews', 'times square', 'great location', 'new york', 'central park', 'street level', 'ball drop', 'good size', 'duane reade', 'modern hotel', 'hudson river', 'coffee machine', 'high floor', 'would highly recommend this hotel', 'two double beds', 'few blocks', 'rockefeller center', 'big apple']"
Radisson Martinique on Broadway,#260 of 479 Hotels in New York City,199,3 Star Hotel,49 West 32nd Street,"New York City, NY 10001-3811","5,056 reviews",40,"['All reviews', 'penn station', 'the empire state building', 'club carlson', 'great location', 'new york', 'korea town', 'times square', 'herald square', 'historic hotel', 'the penthouse', 'around the corner', 'door staff', 'coffee machine', 'central location', 'an upgrade', 'midtown manhattan', 'big apple']"
Hyatt Place New York Midtown South,#184 of 479 Hotels in New York City,429,3 Star Hotel,52 W 36th St # 54,"New York City, NY 10018-8029","2,234 reviews",40,"['All reviews', 'the empire state building', 'great location', 'herald square', 'free breakfast', 'new york', 'times square', 'penn station', 'good size', 'sofa bed', 'bryant park', 'around the corner', 'the breakfast area', 'would stay here again', 'higher floor', 'street noise', 'yogurt', 'central location']"
The Bowery Hotel,#35 of 479 Hotels in New York City,435,4 Star Hotel,335 Bowery,"New York City, NY 10003-7138",708 reviews,45,"['All reviews', 'east village', 'floor to ceiling windows', 'lower east side', 'corner room', 'new york', 'bar scene', 'hotel guests', 'room service', 'adjoining restaurant', 'king room', 'lobby lounge', 'hip hotel', 'hotel restaurant', 'rain shower', 'mini bar', 'favorite hotel', 'bars and restaurants']"
Fairfield Inn & Suites New York Manhattan/Times Square,#262 of 479 Hotels in New York City,250,3 Star Hotel,330 W 40th St,Between 8th Ave. & 9th Ave.,"2,079 reviews",40,"['All reviews', 'port authority', 'sky room', 'times square', 'parole office', 'starbucks coffee', 'the breakfast area', 'new york', 'bagels', 'free breakfast', 'bus station', 'javits center', 'rooftop bar', 'top floor', 'rooms are small', 'breakfast staff', 'front desk staff', ""hell's kitchen""]"
Dream Midtown,#205 of 479 Hotels in New York City,212,4 Star Hotel,210 W 55th St,"New York City, NY 10019-5467",604 reviews,40,"['All reviews', 'rooftop bar', 'central park', 'serafina restaurant', 'great location', 'front desk', 'new york', 'times square', 'awesome stay', 'hotel guests', 'rooms are small', 'amazing hotel', 'room service', 'broadway show', 'carnegie hall', 'walking distance', 'king room', 'columbus circle']"
Hilton Garden Inn Times Square,#167 of 479 Hotels in New York City,218,3 Star Hotel,790 Eighth Avenue,"New York City, NY 10019-7568","7,871 reviews",45,"['All reviews', 'times square', 'pigalle restaurant', 'great location', 'food emporium', 'new york', 'fire station', 'fridge and microwave', 'attached restaurant', 'central park', 'around the corner', 'the theater district', 'within walking distance', 'restaurant row', 'street noise', ""hell's kitchen"", 'higher floor', 'would definitely stay here again']"
"The Renwick Hotel New York City, Curio Collection by Hilton",#169 of 479 Hotels in New York City,266,4 Star Hotel,118 E 40th St,"New York City, NY 10016-1724","1,416 reviews",45,"['All reviews', 'grand central station', 'scott fitzgerald', 'front desk', 'new york', 'boutique hotel', 'bryant park', 'view of the empire state building', 'great boutique', 'cool hotel', 'around the corner', 'two blocks', 'room was spacious', 'small hotel', 'continental breakfast', 'enjoyed my stay', 'great room', 'times square']"
The Marmara Manhattan,#124 of 479 Hotels in New York City,250,3 Star Hotel,301 E 94th St,"New York City, NY 10128-4718","1,022 reviews",45,"['All reviews', 'full kitchen', 'upper east side', 'subway construction', 'one bedroom apartment', 'sinai hospital', 'living room', 'second avenue', 'central park', 'washer dryer', 'new york', 'museum mile', 'great apartment', 'extended stay', 'laundry facilities', 'home away from home', 'front desk staff', 'higher floor']"
The Bentley Hotel,#183 of 479 Hotels in New York City,186,4 Star Hotel,500 East 62nd Street,Between York Ave and FDR Drive,"4,438 reviews",40,"['All reviews', 'east river', 'queensboro bridge', 'sloan kettering', 'roosevelt island', 'fdr drive', 'new york', 'rooftop restaurant', 'nearest subway', 'the ritz', 'front desk staff', 'lobby bar', 'central park', 'junior suite', 'corner room', 'few blocks', 'street noise', 'times square']"
Ameritania Hotel,#137 of 479 Hotels in New York City,215,3 Star Hotel,230 West 54th Street,"New York City, NY 10019-5594","6,093 reviews",45,"['All reviews', 'central park', 'great location', 'times square', 'new york', 'door staff', 'free wifi', 'around the corner', 'few blocks', 'special thanks', 'would definitely stay here again', 'street noise', 'corner room', 'two double beds', 'small room', 'the theater district', 'big apple', 'subway station']"
Hotel Riu Plaza New York Times Square,#149 of 479 Hotels in New York City,242,4 Star Hotel,307 W 46th St,"New York City, NY 10036-3810","2,946 reviews",40,"['All reviews', 'frosted glass', 'times square', 'new york', 'great location', 'restaurant row', 'breakfast was included', 'grab and go', 'modern hotel', 'sliding door', 'family room', ""hell's kitchen"", 'mini fridge', 'high floor', 'sofa bed', 'central park', 'hudson river', 'late check']"
Carnegie Hotel,#63 of 479 Hotels in New York City,269,4 Star Hotel,160 W 56th St,"New York City, NY 10019-3866",165 reviews,45,"['All reviews', 'wine and cheese', 'yogurt', 'hour snacks', 'small hotel', 'boutique hotel', 'blocks from central park', 'continental breakfast', 'nice soft towels', 'night light', 'stayed nights here', 'great location', 'times square', 'super comfortable bed', 'stayed in a junior suite', 'new york', 'trump tower', 'clean hotel']"
"Club Quarters Hotel, Times Square -Midtown",#203 of 479 Hotels in New York City,179,4 Star Hotel,40 W 45th St,"New York City, NY 10036-4261","1,808 reviews",40,"['All reviews', 'great location', 'times square', 'new york', 'filtered water', 'rockefeller center', 'rooms are small', 'free coffee', 'lounge area', 'bed was comfortable', 'grand central station', 'standard room', 'air conditioner', 'bryant park', 'fifth avenue', 'few blocks', 'street noise', 'around the corner']"
Best Western Bowery Hanbee Hotel,#266 of 479 Hotels in New York City,188,3 Star Hotel,231 Grand St,"New York City, NY 10013-4246","1,396 reviews",40,"['All reviews', 'grand street', 'little italy', 'new york', 'bagels', 'make your own waffles', 'lower east side', 'free breakfast', 'east village', 'hard boiled eggs', 'the breakfast area', 'within walking distance', 'subway station', 'brooklyn bridge', 'hotel is located', 'king suite', 'front desk staff', 'good size']"
The Dominick Hotel,#129 of 479 Hotels in New York City,395,5 Star Hotel,246 Spring Street,"New York City, NY 10013-1521","3,319 reviews",45,"['All reviews', 'trump soho', 'trump hotel', 'spring street', 'new york', 'soho area', 'nespresso machine', 'hudson river', 'corner suite', 'in room dining', 'holland tunnel', 'floor to ceiling windows', 'room service', 'freedom tower', 'higher floor', 'turn down service', 'the empire state building', 'an upgrade']"
San Carlos Hotel,#66 of 479 Hotels in New York City,275,4 Star Hotel,150 East 50th Street,"New York City, NY 10022-9500","1,597 reviews",45,"['All reviews', 'yogurt', 'continental breakfast', 'new york', 'one bedroom suite', 'ess a bagel', 'rockefeller center', 'sofa bed', 'central park', 'free wifi', 'small kitchen', 'street noise', 'times square', 'within walking distance', 'fridge and microwave', 'living area', 'business center', 'large room']"
The Langham New York Fifth Avenue,#23 of 479 Hotels in New York City,545,5 Star Hotel,400 Fifth Avenue,"New York City, NY 10018-2753","2,494 reviews",45,"['All reviews', 'ai fiori', 'fifth avenue', 'the empire state building', 'house car', 'al fiori', 'tv in the mirror', 'new york', 'nespresso machine', 'washer and dryer', 'family suite', 'turn down service', 'five star hotel', 'huge bathroom', 'four seasons', 'full kitchen', 'fabulous hotel', 'bryant park']"
Trump International Hotel and Tower New York,#132 of 479 Hotels in New York City,583,5 Star Hotel,1 Central Park West,"New York City, NY 10023-7703","1,462 reviews",45,"['All reviews', 'columbus circle', 'jean georges', 'nougatine', 'central park', 'whole foods', 'park view suite', 'executive suite', 'full kitchen', 'time warner center', 'southwest corner', 'new york', 'room service', 'living room', 'small kitchen', 'lincoln center', 'turn down service', 'corner suite']"
The St. Regis New York,#59 of 479 Hotels in New York City,995,5 Star Hotel,"Two East 55th Street, at Fifth Avenue","New York City, NY 10022",890 reviews,45,"['All reviews', 'butler service', 'the king cole bar', 'astor court', 'personal butler', 'spg points', 'astor suite', 'new york', 'house car', 'chocolate covered strawberries', 'central park', 'modern amenities', 'an upgrade', 'living room', 'concierge team', 'gorgeous hotel', 'four seasons', 'room service']"
The James New York-NoMad,#358 of 479 Hotels in New York City,269,4 Star Hotel,22 E 29th St,At Madison Ave,207 reviews,40,"['All reviews', 'filtered water', 'highly recommend the james', 'wine cheese happy hour', 'coffee muffins', 'stay feel', 'welcoming lobby', 'lovely toiletries', 'building work', 'madison square park', 'new york', 'mini bar', 'sitting room', 'dining table', 'dunkin donuts', 'korea town', 'light switches', 'beautiful hotel']"
Hyatt Herald Square New York,#206 of 479 Hotels in New York City,239,4 Star Hotel,30 W 31st St,"New York City, NY 10001-4403","1,097 reviews",40,"['All reviews', 'rooftop bar', 'the empire state building', 'penn station', 'new york', 'korea town', 'rooms are small', 'storage space', 'holiday inn', 'modern hotel', 'convenient location', 'two blocks', 'early check', 'coffee maker', 'street noise', 'nyc hotels', 'times square', '31st']"
Dream Downtown,#179 of 479 Hotels in New York City,295,4 Star Hotel,355 West 16th Street,Near 9th Ave,"3,879 reviews",45,"['All reviews', 'chelsea market', 'meatpacking district', 'bodega negra', 'electric room', 'dream team', 'rooftop bar', 'the meat packing district', 'new york', 'trendy hotel', 'fun hotel', 'the high line', 'night life', 'guest services', 'amazing hotel', 'view of the empire state building', 'king room', 'rooms are small']"
Roger Smith Hotel,#108 of 479 Hotels in New York City,224,3 Star Hotel,501 Lexington Avenue,"New York City, NY 10017-2008","2,427 reviews",40,"['All reviews', 'yogurt', 'free apples', 'new york', 'lexington avenue', 'rooftop bar', 'grand central station', 'junior suite', 'an older hotel', 'home away from home', 'street noise', 'times square', 'midtown hotel', 'few blocks', 'chrysler building', 'excellent location', 'spacious room', 'convenient location']"
Holiday Inn Manhattan - Financial District,#259 of 479 Hotels in New York City,153,4 Star Hotel,99 Washington Street,"New York City, NY 10006-1805","1,598 reviews",40,"['All reviews', 'wall street', 'battery park', 'statue of liberty', 'rector street', 'trinity church', 'freedom tower', 'hudson river', 'world trade center', 'new york', 'memorial museum', 'staten island ferry', 'dunkin donuts', 'within walking distance', 'rooms are small', 'the upper floors', 'subway station', 'high floor']"
