hotel,rank,price,hotel_star,address,extended_address,number_of_review,overall_star_of_review,keywords
The Jewel facing Rockefeller Center,#69 of 479 Hotels in New York City,242,4 Star Hotel,11 West 51 Street,"New York City, NY 10019-6994","2,296 reviews",45,"['All reviews', 'rockefeller center', 'radio city music hall', 'purified water', 'terrace club', 'club quarters', 'great location', ""patrick's cathedral"", 'central park', 'new york', 'times square', 'sister hotel', 'living room', 'nbc studios', 'free wifi', 'coffee machine', 'top of the rock', 'fifth avenue']"
Hampton Inn Manhattan-Times Square North,#192 of 479 Hotels in New York City,207,3 Star Hotel,851 8th Avenue,"New York City, NY 10019-6237","5,957 reviews",45,"['All reviews', 'central park', 'times square', 'free breakfast', 'great location', 'rite aid', 'new york', 'breakfast room', 'hot breakfast', 'yogurt', 'rockefeller center', 'few blocks', ""hell's kitchen"", 'two queen beds', 'broadway theaters', 'parking garage', 'subway station', 'room was large']"
AKA Wall Street,#88 of 479 Hotels in New York City,445,4 Star Hotel,84 William St,"New York, NY",146 reviews,45,"['All reviews', 'the financial district', 'home away from home', 'full kitchen', 'federal grill', 'long stay', 'blue ribbon', 'rooftop lounge', 'federal reserve', 'spacious apartment', 'world trade', 'louise nevelson', 'limited housekeeping', 'quality towels', 'fulton street subway', 'business trip', 'stayed in times square', 'laundry room']"
InterContinental New York Times Square,#207 of 479 Hotels in New York City,333,5 Star Hotel,300 W 44th Street,"New York City, NY 10036-5419","6,002 reviews",45,"['All reviews', 'sky view room', 'times square', 'ambassador member', 'shake shack', 'new york', 'corner room', 'rain shower', 'subway entrance', 'higher floor', 'mini bar', 'hudson river', ""hell's kitchen"", 'late check', 'an upgrade', 'the theater district', 'around the corner', 'coffee machine']"
"Club Quarters Hotel, World Trade Center",#109 of 479 Hotels in New York City,215,4 Star Hotel,140 Washington St,"New York City, NY 10006-1071","1,728 reviews",45,"['All reviews', 'wtc memorial', 'the financial district', 'memorial pools', 'battery park', 'freedom tower', 'filtered water', 'rooftop restaurant', 'wall street', 'rector street', 'lower manhattan', 'new york', 'ground zero', 'construction site', 'statue of liberty', 'top floor', 'free coffee', 'great amenities']"
Sohotel,#208 of 479 Hotels in New York City,208,3 Star Hotel,341 Broome St,"New York City, NY 10013-4236","1,521 reviews",40,"['All reviews', 'broome street', 'great location', 'new york', 'lower east side', 'free coffee and tea', 'family room', 'soho area', 'single bed', 'rooms are small', 'cool hotel', 'street noise', 'few blocks', 'around the corner', 'boutique hotel', 'subway station', 'times square', 'lobby']"
Hilton Garden Inn New York/Tribeca,#201 of 479 Hotels in New York City,251,3 Star Hotel,39 Avenue of the Americas,"New York City, NY 10013-2201","1,571 reviews",40,"['All reviews', 'canal street', 'great location', 'holland tunnel', 'new york', 'subway station', 'greenwich village', 'easy access', 'lower manhattan', 'front desk staff', 'walking distance', 'fridge and microwave', 'financial district', 'good size', 'would definitely stay here again', 'business trip', 'battery park', 'business center']"
Four Points by Sheraton Midtown - Times Square,#211 of 479 Hotels in New York City,190,3 Star Hotel,326 W 40th St,"New York City, NY 10018-1404","2,409 reviews",40,"['All reviews', 'port authority', 'parole office', 'chef alex', 'times square', 'new york', 'free bottled water', 'cupcakes', 'bus station', 'rooms are small', 'convenient location', 'few blocks', 'city view', ""hell's kitchen"", 'higher floor', 'free internet', 'king bed', 'decent size']"
The Maritime Hotel,#74 of 479 Hotels in New York City,325,4 Star Hotel,363 W 16th St,"New York City, NY 10011-5902",711 reviews,45,"['All reviews', 'chelsea market', 'porthole windows', 'meatpacking district', 'the high line', 'mario batali restaurant', 'rooms are small', 'whitney museum', 'new york', 'room service', 'hudson river', 'the penthouse', 'continental breakfast', 'bath products', 'business traveler', 'rain shower', 'home away from home', 'wine and cheese']"
Hotel Mulberry,#147 of 479 Hotels in New York City,199,3 Star Hotel,52 Mulberry St,"New York City, NY 10013-4315",631 reviews,45,"['All reviews', 'columbus park', 'canal street', 'freedom tower', 'free breakfast', 'little italy', ""mama's cafe"", 'new york', 'breakfast is served', 'parking garage', 'every morning', 'short walk', 'modern bathroom', 'lower manhattan', 'small hotel', 'battery park', 'beds were very comfortable', 'world trade']"
Washington Square Hotel,#138 of 479 Hotels in New York City,239,3 Star Hotel,103 Waverly Place,"New York City, NY 10011-9194","1,594 reviews",40,"['All reviews', 'greenwich village', 'continental breakfast', 'waverly place', 'bob dylan', 'visiting nyu', 'bagels', 'great location', 'new york', 'rooms are small', 'art deco', 'deluxe room', 'fresh fruit', 'boutique hotel', 'brick wall', 'around the corner', 'lower manhattan', 'street noise']"
"The Ritz-Carlton New York, Central Park",#51 of 479 Hotels in New York City,845,5 Star Hotel,50 Central Park South,"New York City, NY 10019","1,649 reviews",45,"['All reviews', 'the club lounge', 'central park', 'star lounge', 'park view', 'new york', 'guest relations', 'four seasons', 'room service', 'beautiful hotel', 'concierge staff', 'beautiful room', 'luxury hotel', 'a wonderful stay', 'columbus circle', 'battery park', 'the entire staff', 'turn down service']"
Baccarat Hotel & Residences New York,#28 of 479 Hotels in New York City,995,5 Star Hotel,28 W 53rd St,"New York City, NY 10019-6106",514 reviews,45,"['All reviews', 'grand salon', 'classic king', 'la mer spa', 'prestige suite', 'evian water', 'beautiful hotel', 'new york', 'moment you arrive', 'house car', 'museum of modern art', 'mini bar', 'luxury hotel', 'park hyatt', 'beautiful room', 'favorite hotel in nyc', 'directly across the street', 'room service']"
Holiday Inn Express Manhattan Midtown West,#275 of 479 Hotels in New York City,195,3 Star Hotel,538 W 48th St,"New York City, NY 10036-1102","1,207 reviews",40,"['All reviews', ""hell's kitchen"", 'times square', 'hi express', 'new york', 'the breakfast area', 'west side', 'minute walk', 'free breakfast', 'the nearest subway station', 'yogurt', 'few blocks', 'hot breakfast', 'rooms are small', 'breakfast staff', 'hotel is located', 'each morning', 'would stay again']"
The Hilton Club - New York,#175 of 479 Hotels in New York City,431,4 Star Hotel,1335 Avenue of the Americas,"36th, 37th and 38th Floors of the Hilton New York",743 reviews,45,"['All reviews', 'central park', 'owners lounge', 'time share', 'grand vacation', 'new york', 'great location', 'rockefeller center', 'radio city music hall', 'cocktail hour', 'breakfast and happy hour', 'times square', 'busy hotel', 'hard boiled eggs', 'continental breakfast', 'the executive lounge', 'main lobby', 'midtown manhattan']"
Hampton Inn Manhattan - Madison Square Garden Area,#148 of 479 Hotels in New York City,332,3 Star Hotel,116 West 31st Street,"New York City, NY 10001-3401","2,146 reviews",40,"['All reviews', 'penn station', 'great location', 'new york', 'free breakfast', 'rooms are small', 'warm cookies', 'the breakfast area', 'yogurt', 'the empire state building', 'front desk staff', 'two double beds', 'would definitely stay here again', 'around the corner', 'would highly recommend this hotel', 'few blocks', 'central location', 'nyc hotels']"
Broadway at Times Square Hotel,#245 of 479 Hotels in New York City,180,3 Star Hotel,129 West 46th Street,"New York City, NY 10036-8502","2,214 reviews",40,"['All reviews', 'comfort inn', 'bagels', 'times square', 'great location', 'continental breakfast', 'new york', 'rooms are small', 'boiled eggs', 'stay there again', 'brick wall', 'free wifi', 'rockefeller center', 'half block', 'the breakfast area', 'queen bed', 'the hotel is clean', 'street noise']"
Hampton Inn Manhattan-Seaport-Financial District,#256 of 479 Hotels in New York City,230,3 Star Hotel,320 Pearl St,"New York City, NY 10038-1604","1,161 reviews",40,"['All reviews', 'brooklyn bridge', 'pace university', 'pearl street', 'front desk', 'fulton st', 'battery park', 'new york', 'wall street', 'freedom tower', 'statue of liberty', 'the world trade center', 'free breakfast', 'walking distance', 'the breakfast area', 'small hotel', 'yogurt', 'would stay here again']"
Hilton Garden Inn New York Times Square South,#110 of 479 Hotels in New York City,229,3 Star Hotel,326 W 37th St,"New York City, NY 10018-4208",251 reviews,45,"['All reviews', 'penn station', 'front desk', 'times square', 'great location', 'new york', 'keurig coffee maker', 'diamond member', 'javits center', 'nice property', 'lincoln tunnel', 'mini fridge', 'storage space', 'visiting nyc', 'theater district', 'highly recommend this hotel', 'walking distance', 'special thanks']"
Hampton Inn Manhattan Grand Central,#79 of 479 Hotels in New York City,309,3 Star Hotel,231 E 43rd St,"New York City, NY 10017-4701","2,432 reviews",45,"['All reviews', 'united nations', 'front desk', 'great location', 'new york', 'the breakfast area', 'free breakfast', 'sliding door', 'hot breakfast', 'two blocks', 'breakfast staff', 'yogurt', 'chrysler building', 'times square', 'rooms are small', 'business center', 'clean hotel', 'fitness center']"
Fairfield Inn & Suites New York Manhattan/Chelsea,#160 of 479 Hotels in New York City,287,3 Star Hotel,116 W 28th St,"New York City, NY 10001-6101",909 reviews,45,"['All reviews', 'flower district', 'penn station', 'the empire state building', 'wholesale flower', 'yogurt', 'new york', 'free breakfast', 'madison square garden', 'rooftop patio', 'the breakfast area', 'times square', 'front desk staff', 'city view', 'rooms are small', 'few blocks', 'king bed', 'convenient location']"
Broadway Plaza Hotel,#130 of 479 Hotels in New York City,242,3 Star Hotel,1155 Broadway,"New York City, NY 10001-7516","1,552 reviews",40,"['All reviews', 'breakfast room', 'view of the empire state building', 'bagels', 'new york', 'the flat iron building', 'times square', 'tea and coffee', 'free continental breakfast', 'subway station', 'large bathroom', 'stayed here for nights', 'fourth floor', 'two queen beds', 'good size', 'few blocks', 'junior suite', 'would definitely stay here again']"
Distrikt Hotel New York City,#91 of 479 Hotels in New York City,262,4 Star Hotel,342 West 40th Street,"New York City, NY 10018-1404","5,964 reviews",45,"['All reviews', 'port authority', 'parole office', 'times square', 'new york', 'great hotel', 'bus station', ""hell's kitchen"", 'little touches', 'hudson river', 'good size', 'free wifi', 'our honeymoon', 'coffee machine', 'central location', 'small hotel', 'big apple', 'higher floor']"
Hotel Beacon,#54 of 479 Hotels in New York City,246,4 Star Hotel,2130 Broadway at 75th Street,"New York City, NY 10023-1724","4,225 reviews",45,"['All reviews', 'fairway market', 'upper west side', 'central park', 'viand cafe', 'small kitchenette', 'levain bakery', 'new york', 'strawberry fields', 'street subway', 'one bedroom suite', 'times square', 'laundry room', 'natural history museum', 'express train', 'lincoln center', 'short walk', 'full kitchen']"
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,#96 of 479 Hotels in New York City,259,3 Star Hotel,6 Water St,"New York City, NY 10004-2113",238 reviews,45,"['All reviews', 'the staten island ferry', 'battery park', 'great hotel', ""governor's island"", 'dead rabbit', 'charging bull', 'water street', 'front desk', 'american indian museum', 'laptop safe', 'fraunces tavern', 'brand spanking new', 'ironing board and iron', 'close to wall street', 'south street seaport', 'booked a king room', 'statue of liberty']"
"Club Quarters Hotel, Wall Street",#190 of 479 Hotels in New York City,233,4 Star Hotel,52 William St,"New York City, NY 10005-2876","1,781 reviews",40,"['All reviews', 'the financial district', 'purified water', 'stock exchange', 'new york', 'south street seaport', 'lower manhattan', 'battery park', 'staten island ferry', 'world trade center', 'statue of liberty', 'subway station', 'free wifi', 'around the corner', 'duane reade', 'queen bed', 'business traveler', 'quiet at night']"
Candlewood Suites New York City Times Square,#268 of 479 Hotels in New York City,222,3 Star Hotel,339 W. 39th Street,"New York City, NY 10018-1401","1,952 reviews",40,"['All reviews', 'free laundry', 'times square', 'port authority', 'full size refrigerator', 'new york', 'fridge freezer', 'an extended stay', 'laundry room', 'small kitchen', 'longer stay', 'clean towels', 'penn station', 'few blocks', 'coffee maker', 'the empire state building', 'queen bed', 'would definitely stay here again']"
Chambers Hotel,#131 of 479 Hotels in New York City,266,4 Star Hotel,15 W 56th St,"New York City, NY 10019-3902",692 reviews,45,"['All reviews', 'ma peche', 'milk bar', 'central park', 'boutique hotel', 'new york', 'rain shower', 'trump tower', 'corner king room', 'fifth avenue', 'small hotel', 'basic room', 'bottled water', 'bath products', 'great boutique', 'room service', 'great amenities', 'restaurant downstairs']"
The Surrey,#136 of 479 Hotels in New York City,446,5 Star Hotel,20 East 76th Street,"New York City, NY 10021-2643","2,018 reviews",45,"['All reviews', 'cafe boulud', 'upper east side', 'central park', 'bar pleiades', 'grand deluxe salon', 'relais chateaux', 'madison avenue', 'rooftop garden', 'new york', 'room service', 'in room dining', 'luxury hotel', 'favorite hotel', 'bottle of champagne', 'turn down service', 'wonderful hotel', 'four seasons']"
Hilton Garden Inn New York/West 35th Street,#87 of 479 Hotels in New York City,229,3 Star Hotel,63 West 35th Street,"New York City, NY 10001-2202","5,555 reviews",45,"['All reviews', 'the empire state building', 'herald square', 'penn station', 'great location', 'times square', 'new york', 'city view', 'around the corner', 'fridge and microwave', 'front desk staff', 'few blocks', 'would definitely stay here again', 'bryant park', 'coffee maker', 'corner room', 'midtown manhattan', 'high floor']"
Carvi Hotel New York,#213 of 479 Hotels in New York City,189,3 Star Hotel,152 E 55th St,"New York City, NY 10022-4513",623 reviews,40,"['All reviews', 'no window', 'central park', 'pj clarkes', 'new york', 'small hotel', 'free wifi', 'comfortable bed', 'times square', 'stay there again', 'lexington avenue', 'walking distance', 'excellent location', 'restaurants and bars', 'stayed for nights', 'roof terrace', 'good size', 'rooms are clean']"
Embassy Suites by Hilton New York Midtown Manhattan,#229 of 479 Hotels in New York City,233,3 Star Hotel,60 W 37th St,"New York City, NY 10018-7401",222 reviews,40,"['All reviews', 'evening reception', 'the empire state building', 'made to order breakfast', 'needed extra pillows', 'order eggs', 'managers reception', 'omelette station', 'the complimentary happy hour', 'herald square subway station', 'free breakfast buffet', 'room wasn t', 'hot and cold items', 'the sofa bed', 'studio suite', 'small problem', 'sleeping area', 'midtown manhattan']"
The Frederick Hotel,#200 of 479 Hotels in New York City,229,4 Star Hotel,95 West Broadway,At Chambers Street,"2,151 reviews",40,"['All reviews', 'cosmopolitan hotel', 'chambers street', 'west broadway', 'subway station', 'tribeca area', 'great location', 'brooklyn bridge', 'new york', 'battery park', 'lower manhattan', 'world trade center', 'rooms are small', 'double bed', 'walking distance', 'street noise', 'the financial district', 'air conditioner']"
Hotel Hayden,#236 of 479 Hotels in New York City,240,4 Star Hotel,127 W 28th St,Between 6th & 7th Avenues,371 reviews,40,"['All reviews', 'flower district', 'rooftop bar', 'hotel indigo', 'great location', 'front desk', 'new york', 'nice hotel', 'subway access', 'clean rooms', 'penn station', 'the room was nice', 'light sleeper', 'enjoyed my stay', 'mini bar', 'would definitely stay here again', 'walking distance', 'continental breakfast']"
Hotel on Rivington,#228 of 479 Hotels in New York City,221,4 Star Hotel,107 Rivington St,"New York City, NY 10002-2203","1,523 reviews",40,"['All reviews', 'lower east side', 'floor to ceiling windows', 'soaking tub', 'corner king', 'steam shower', 'williamsburg bridge', 'high floor', 'new york', 'memory foam', 'bars and restaurants', 'complimentary wine', 'trendy hotel', 'the penthouse', 'turn down service', 'mini bar', 'freedom tower', 'around the corner']"
Smyth Hotel,#105 of 479 Hotels in New York City,299,4 Star Hotel,85 West Broadway,"New York City, NY 10007-1045",572 reviews,45,"['All reviews', 'chambers street', 'tribeca location', 'evening bar', 'great location', 'west broadway', 'lower manhattan', 'freedom tower', 'new york', 'the world trade center', 'the financial district', 'king suite', 'subway station', 'brooklyn bridge', 'cool hotel', 'wonderful stay', 'front desk staff', 'easy access']"
Tryp by Wyndham New York City Times Square South,#224 of 479 Hotels in New York City,259,4 Star Hotel,345 West 35th Street,"Steps to Times Square, High-line, Etc","4,252 reviews",45,"['All reviews', 'family room', 'penn station', 'premium room', 'bunk beds', 'police station next door', 'times square', 'new york', 'madison square garden', 'quiet street', 'empire state building', 'coffee machine', 'modern hotel', 'large room', 'mini fridge', 'around the corner', 'nyc hotel', 'few blocks']"
The Manhattan at Times Square Hotel,#165 of 479 Hotels in New York City,162,4 Star Hotel,790 7th Avenue,"New York City, NY 10019-6204","10,755 reviews",40,"['All reviews', 'breakfast bar', 'times square', 'great location', 'new york', 'grab and go', 'central park', 'early check', 'rockefeller center', 'few blocks', 'mohammad', 'dolly', 'alam', 'dolores', 'manhattan', 'broadway', 'subway', 'concierge']"
Walker Hotel Greenwich Village,#103 of 479 Hotels in New York City,345,4 Star Hotel,52 W 13th St,"New York City, NY 10011-7902","1,148 reviews",45,"['All reviews', 'boutique hotel', ""murray's bagels"", 'union square', 'art deco style', 'new york', 'rooms are small', 'quiet street', 'turn down service', 'freedom tower', 'great boutique', 'room service', 'perfect location', 'the high line', 'water pressure', 'around the corner', 'two double beds', 'the empire state building']"
"The Lexington Hotel, Autograph Collection",#238 of 479 Hotels in New York City,500,4 Star Hotel,511 Lexington Avenue,at 48th Street,"4,408 reviews",40,"['All reviews', 'marilyn monroe', 'starbucks attached', 'irina borukhov', 'great location', 'new york', 'marriott properties', 'grand central station', 'nice lobby', 'times square', 'rooms are small', 'art deco', 'king room', 'bottled water', 'lobby area', 'rockefeller center', 'street noise', 'few blocks']"
The Michelangelo Hotel,#45 of 479 Hotels in New York City,252,5 Star Hotel,152 West 51st Street,between 6th and 7th Avenues,"3,946 reviews",45,"['All reviews', 'times square', 'great location', 'new york', 'central park', 'rockefeller center', 'walk in closet', 'rooms are large', 'beautiful hotel', 'junior suite', 'turn down service', 'radio city music hall', 'sitting area', 'continental breakfast', 'street noise', 'by nyc standards', 'visit nyc', 'loved this hotel']"
The Wall Street Inn,#174 of 479 Hotels in New York City,224,3 Star Hotel,9 S William St,New York,551 reviews,40,"['All reviews', 'the financial district', 'battery park', 'continental breakfast', 'bagels', 'lower manhattan', 'staten island ferry', 'fraunces tavern', 'stock exchange', 'hard boiled eggs', 'south street seaport', 'statue of liberty', 'new york', 'quaint hotel', 'restaurants and bars', 'waffle maker', 'ny times', 'corner room']"
Lotte New York Palace,#68 of 479 Hotels in New York City,525,4 Star Hotel,455 Madison Avenue,"New York City, NY 10022-6845","4,194 reviews",45,"['All reviews', ""patrick's cathedral"", 'pomme palais', 'cathedral view', 'new york', 'gossip girl', 'rockefeller center', 'room service', 'madison avenue', 'central park', 'rooms are large', 'beautiful room', 'fabulous hotel', 'the location is perfect', 'corner room', 'mini bar', 'times square', 'high floor']"
The Peninsula New York,#92 of 479 Hotels in New York City,695,5 Star Hotel,700 Fifth Avenue at 55th Street,"New York City, NY 10019","1,228 reviews",45,"['All reviews', 'rooftop bar', 'salon de ning', 'grand luxe room', 'fifth avenue', 'oscar de la renta', 'central park', 'new york', 'four seasons', 'indoor pool', 'luxury hotel', 'room service', 'separate shower', 'st regis', 'superior room', 'concierge desk', 'turn down service', 'an upgrade']"
InterContinental New York Barclay,#123 of 479 Hotels in New York City,333,4 Star Hotel,111 E 48th St,"New York City, NY 10017-1222","1,728 reviews",45,"['All reviews', 'gin parlour', 'new york', 'beautiful hotel', 'british airways', 'the club lounge', 'mini bar', 'grand central station', 'beautiful lobby', 'park avenue', 'times square', 'rockefeller center', 'an upgrade', 'housekeeping staff', 'luxury hotel', 'coffee machine', 'fifth avenue', 'late check']"
Room Mate Grace,#84 of 479 Hotels in New York City,224,3 Star Hotel,125 West 45th Street,"New York City, NY 10036-4004","1,364 reviews",45,"['All reviews', 'indoor pool', 'portable wifi', 'times square', 'swim up bar', 'recommend room', 'great location', 'new york', 'triple room', 'boutique hotel', 'literally a minute walk', 'huge shower', 'rooms are small', 'bunk beds', 'would definitely stay here again', 'good size', 'great amenities', 'check in was quick']"
Courtyard New York Manhattan/Chelsea,#133 of 479 Hotels in New York City,360,3 Star Hotel,135 W 30th St,"New York City, NY 10001-4012",970 reviews,45,"['All reviews', 'penn station', 'great location', 'new york', 'courtyard by marriott', 'close to madison square garden', 'around the corner', 'times square', 'freedom tower', 'would definitely stay here again', 'directly across the street', 'nice shower', 'the high line', 'the empire state building', 'hotel is located', 'front desk staff', 'the staff was friendly and helpful', 'few blocks']"
Hilton New York Fashion District,#220 of 479 Hotels in New York City,297,4 Star Hotel,152 West 26th Street,"New York City, NY 10001-6975","3,674 reviews",40,"['All reviews', 'rooftop bar', 'new york', 'penn station', 'the empire state building', 'whole foods', 'front desk staff', 'the high line', 'high floor', 'chelsea market', 'times square', 'madison square garden', 'rooms are small', 'street noise', 'few blocks', 'mini bar', 'decent size', 'early check']"
Gramercy Park Hotel,#146 of 479 Hotels in New York City,399,4 Star Hotel,2 Lexington Avenue,"New York City, NY 10010-5487","1,556 reviews",45,"['All reviews', 'rose bar', 'maialino', 'private park', 'red velvet', 'new york', 'room service', 'union square', 'home away from home', 'hotel is beautiful', 'junior suite', 'turn down service', 'hotel bar', 'nyc hotel', 'mini bar', 'late check', 'concierge', 'aesop']"
Hotel 48LEX New York,#78 of 479 Hotels in New York City,281,4 Star Hotel,517 Lexington Avenue,"New York City, NY 10017-1204","1,739 reviews",45,"['All reviews', 'second floor lounge', 'corner suite', 'new york', 'wine and cheese hour', 'floor to ceiling windows', 'boutique hotel', 'grand central station', 'grand hyatt', 'mini bar', 'coffee machine', 'great boutique', 'lounge area', 'beautiful room', 'midtown manhattan', 'street noise', 'nyc hotels', 'definitely stay here again']"
The Roxy Hotel Tribeca,#14 of 479 Hotels in New York City,312,4 Star Hotel,2 Avenue of the Americas,"New York City, NY 10013-2401",880 reviews,45,"['All reviews', 'jazz club', 'live jazz', 'oyster bar', 'open atrium', 'canal street subway', 'director of guest services', 'new york', 'cool hotel', 'cool vibe', 'freedom tower', 'world trade', 'lounge area', 'greenwich village', 'the general manager', 'lower manhattan', 'amazing hotel', 'battery park']"
